price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
19500,886,22,1,1,2,2,5,5,6,4,1.0,0
72240,840,86,2,1,0,1,9,12,2,4,0.75,0
185000,954,194,4,3,4,1,3,6,6,7,0.5,1
82000,1025,80,3,1,2,0,2,9,6,12,0.2222222222222222,1
83000,1221,68,3,1,2,1,9,9,6,11,1.0,0
188000,1146,164,4,1,2,1,8,9,6,4,0.8888888888888888,0
285000,1425,200,4,3,4,1,10,13,6,7,0.7692307692307693,0
57000,950,60,2,1,2,0,4,9,4,4,0.4444444444444444,1
114000,991,115,4,2,4,1,9,10,6,7,0.9,0
185000,1000,185,4,2,4,1,10,11,6,6,0.9090909090909091,0
47000,1382,34,1,2,4,0,5,9,4,6,0.5555555555555556,0
37000,1233,30,1,1,3,2,1,4,6,4,0.25,0
37000,1233,30,1,3,2,2,3,4,4,7,0.75,0
62000,954,65,3,3,1,2,3,3,5,33,1.0,0
44900,1044,43,2,1,3,2,1,3,4,4,0.3333333333333333,0
135000,1089,124,4,3,0,1,12,15,5,8,0.8,0
70000,1148,61,3,1,2,0,9,9,6,41,1.0,0
39000,1182,33,1,0,3,0,2,9,4,7,0.2222222222222222,1
85000,1133,75,2,2,2,1,6,9,6,6,0.6666666666666666,0
64000,1016,63,3,1,2,0,9,9,6,4,1.0,0
37000,822,45,2,2,1,1,1,4,5,3,0.25,0
74000,1104,67,3,1,0,0,2,5,5,36,0.4,1
59000,1017,58,3,0,1,2,4,4,6,7,1.0,0
105000,946,111,3,1,4,2,5,6,6,14,0.8333333333333334,0
36000,857,42,1,2,2,1,2,14,2,6,0.14285714285714285,1
44500,927,48,1,1,2,0,7,9,4,4,0.7777777777777778,0
83000,1092,76,2,0,3,1,8,10,5,7,0.8,0
38000,1118,34,1,0,2,0,6,9,4,7,0.6666666666666666,0
48000,1371,35,1,1,2,0,2,9,4,4,0.2222222222222222,1
230000,1198,192,4,1,0,1,7,12,2,4,0.5833333333333334,0
86250,1150,75,2,1,0,2,5,12,2,4,0.4166666666666667,1
140400,1300,108,3,1,2,1,8,15,2,4,0.5333333333333333,0
39500,1274,31,1,2,2,2,1,4,5,6,0.25,0
89489,810,110,3,1,0,2,6,14,2,3,0.42857142857142855,1
41250,750,55,1,1,0,1,11,16,2,1,0.6875,0
49600,1102,45,1,2,1,1,12,12,5,6,1.0,0
54250,1000,54,1,3,1,1,6,9,6,2,0.6666666666666666,0
90892,1240,73,2,0,4,1,15,19,2,7,0.7894736842105263,0
25000,595,42,1,3,1,1,4,5,2,2,0.8,0
165000,825,200,5,3,1,2,5,6,6,7,0.8333333333333334,0
80000,800,100,3,0,4,2,9,9,6,7,1.0,0
29000,763,38,1,1,1,1,11,14,2,1,0.7857142857142857,0
62480,710,88,3,1,1,1,9,14,2,1,0.6428571428571429,0
63960,780,82,2,1,0,1,7,16,2,2,0.4375,1
48240,720,67,2,1,1,1,7,14,2,1,0.5,1
84500,1122,75,3,3,1,2,6,9,5,7,0.6666666666666666,0
84500,1056,80,2,1,2,1,2,10,5,5,0.2,1
57999,1184,49,2,1,2,0,6,9,4,4,0.6666666666666666,0
58930,710,83,3,1,1,1,8,14,2,1,0.5714285714285714,0
55200,800,69,2,1,0,1,13,16,2,2,0.8125,0
108550,835,130,3,1,0,1,8,14,2,3,0.5714285714285714,0
110220,835,132,3,1,0,1,4,14,2,3,0.2857142857142857,1
39500,823,48,1,1,0,1,9,10,2,4,0.9,0
40600,967,42,1,2,4,2,3,5,4,6,0.6,0
67500,974,69,2,0,1,1,10,10,5,6,1.0,0
46400,800,58,1,1,0,1,14,16,2,2,0.875,0
72000,972,74,2,0,1,1,6,10,5,6,0.6,0
180000,1406,128,3,2,3,1,8,10,6,9,0.8,0
115230,835,138,4,1,0,1,7,14,2,3,0.5,1
119000,1190,100,3,2,2,0,7,16,6,6,0.4375,1
95000,1044,91,3,2,1,1,12,12,6,6,1.0,0
56000,1143,49,2,0,3,0,4,5,6,7,0.8,0
62700,825,76,2,3,1,1,12,15,6,7,0.8,0
105000,1082,97,3,1,3,1,1,12,5,4,0.08333333333333333,0
50000,1163,43,1,1,2,2,7,18,6,4,0.3888888888888889,1
63700,838,76,2,0,0,1,7,14,2,7,0.5,1
119000,1133,105,3,1,0,1,6,16,2,4,0.375,1
150000,1250,120,3,0,2,1,12,13,5,7,0.9230769230769231,0
82000,1242,66,2,1,2,1,12,12,5,4,1.0,0
41000,1108,37,1,1,1,1,6,8,5,4,0.75,0
38000,819,46,1,1,1,0,2,10,5,4,0.2,1
60000,1176,51,2,2,2,0,2,5,5,6,0.4,1
145000,863,168,4,3,4,2,2,10,5,7,0.2,1
49000,875,56,2,1,0,1,4,9,2,4,0.4444444444444444,1
75000,882,85,3,2,4,2,10,10,6,10,1.0,0
53000,1325,40,1,1,0,2,1,10,5,7,0.1,0
97000,1347,72,2,2,2,2,4,12,5,3,0.3333333333333333,1
104000,825,126,4,3,3,2,4,9,5,11,0.4444444444444444,1
45000,750,60,2,2,2,1,3,14,2,2,0.21428571428571427,1
38844,900,43,1,1,0,1,5,12,2,3,0.4166666666666667,1
54000,900,60,2,0,1,2,5,5,5,3,1.0,0
35500,612,58,2,1,0,1,3,10,2,2,0.3,1
20000,556,36,1,0,1,1,5,9,0,3,0.5555555555555556,0
60000,857,70,3,2,1,2,6,6,5,6,1.0,0
60000,923,65,4,2,3,2,6,9,4,39,0.6666666666666666,0
65000,844,77,2,2,1,1,5,12,5,6,0.4166666666666667,1
118000,1372,86,2,2,3,1,10,12,5,6,0.8333333333333334,0
165000,825,200,5,3,1,2,5,6,6,7,0.8333333333333334,0
52560,730,72,2,1,4,1,2,10,2,2,0.2,1
147000,1176,125,3,1,0,2,5,12,6,6,0.4166666666666667,1
66000,1535,43,2,3,0,1,8,10,6,5,0.8,0
61000,1052,58,3,0,1,0,5,5,6,7,1.0,0
48800,1356,36,1,1,4,0,6,9,4,35,0.6666666666666666,0
16500,917,18,1,0,1,2,3,5,4,7,0.6,0
49800,1158,43,2,1,0,0,2,4,4,4,0.5,1
15000,909,16,1,1,1,2,2,5,4,4,0.4,1
87000,1006,86,3,2,2,1,5,10,5,3,0.5,1
190000,868,219,4,1,2,1,7,8,5,20,0.875,0
98500,1026,96,5,2,4,2,4,6,6,29,0.6666666666666666,0
86000,1147,75,3,0,0,2,1,5,6,32,0.2,0
87000,1088,80,2,2,3,1,7,10,6,6,0.7,0
36000,1125,32,1,2,0,2,2,3,6,44,0.6666666666666666,0
50500,1174,43,2,1,2,0,3,4,4,4,0.75,0
115000,1162,99,3,3,3,1,10,10,5,5,1.0,0
62500,1096,57,3,2,2,0,4,4,5,42,1.0,0
74500,1221,61,2,3,4,1,6,14,2,7,0.42857142857142855,1
29000,1036,28,1,3,3,2,5,5,6,7,1.0,0
55000,1250,44,1,1,2,1,10,13,5,4,0.7692307692307693,0
62000,1069,58,3,0,1,0,1,4,6,7,0.25,0
84500,1056,80,2,1,2,2,2,10,6,5,0.2,1
103000,1288,80,4,1,2,1,8,10,5,10,0.8,0
85000,1232,69,3,3,1,0,1,9,5,7,0.1111111111111111,0
89000,1099,81,2,2,0,1,7,10,5,5,0.7,0
50500,1050,48,1,1,0,1,6,12,2,3,0.5,1
60000,1034,58,2,1,0,1,5,10,5,3,0.5,1
114000,991,115,3,2,4,1,9,10,5,6,0.9,0
37000,1000,37,2,2,3,2,5,5,4,44,1.0,0
143000,1014,141,4,1,0,0,9,14,2,3,0.6428571428571429,0
75000,1000,75,2,2,2,1,6,9,6,6,0.6666666666666666,0
53000,1233,43,2,1,3,2,3,5,5,4,0.6,0
48500,882,55,2,2,2,2,6,8,2,6,0.75,0
89500,809,111,3,1,0,2,6,14,2,3,0.42857142857142855,1
63000,1212,52,2,1,2,0,7,9,5,4,0.7777777777777778,0
45000,1000,45,1,1,0,1,6,12,2,3,0.5,1
95000,1195,80,2,2,3,1,7,10,6,6,0.7,0
128000,1306,98,4,2,4,2,5,9,4,9,0.5555555555555556,0
29000,1036,28,1,3,3,2,5,5,6,7,1.0,0
79500,803,99,3,2,2,1,3,14,5,6,0.21428571428571427,1
57000,1295,44,2,1,2,0,1,4,5,53,0.25,0
124500,899,138,3,2,3,2,9,9,5,9,1.0,0
45000,1264,36,1,1,4,0,1,9,5,35,0.1111111111111111,0
88500,843,105,2,1,2,1,3,4,5,10,0.75,0
49500,1500,33,1,1,2,2,2,9,5,37,0.2222222222222222,1
38000,1152,33,1,2,0,0,2,9,5,45,0.2222222222222222,1
51000,1000,51,1,0,3,0,3,9,5,43,0.3333333333333333,1
36500,1061,34,1,3,0,2,1,5,5,6,0.2,0
76000,1070,71,2,2,2,2,5,5,5,16,1.0,0
54000,1256,43,2,1,2,2,4,4,5,45,1.0,0
40400,1351,30,1,3,1,2,5,5,5,2025,1.0,0
61000,772,79,2,1,0,1,4,9,5,2,0.4444444444444444,1
27200,697,39,1,0,0,2,4,4,2,7,1.0,0
81500,807,101,3,1,0,0,7,9,5,4,0.7777777777777778,0
91500,1188,77,2,0,2,2,3,12,5,7,0.25,1
44800,1018,44,2,3,1,2,2,2,6,7,1.0,0
72000,1161,62,3,1,2,0,1,5,5,36,0.2,0
86500,1246,69,3,0,1,0,1,9,5,40,0.1111111111111111,0
48000,1091,44,1,2,0,2,4,9,5,9,0.4444444444444444,1
52500,1193,44,2,1,2,2,1,4,5,55,0.25,0
58500,1245,47,1,1,2,2,12,12,5,7,1.0,0
48000,1000,48,1,1,1,1,2,12,5,4,0.16666666666666666,1
46500,1157,40,2,3,1,2,4,4,5,65,1.0,0
66000,1522,43,2,3,0,1,8,10,5,5,0.8,0
68000,1360,50,1,2,4,1,13,15,6,6,0.8666666666666667,0
57500,1065,54,2,1,2,0,5,5,5,48,1.0,0
135000,1439,94,4,2,4,2,5,9,5,9,0.5555555555555556,0
66500,1108,60,2,2,4,2,5,5,5,36,1.0,0
48000,863,56,2,1,0,0,4,9,5,5,0.4444444444444444,1
63000,1016,62,2,1,0,1,5,10,5,4,0.5,1
54000,717,75,4,0,1,2,4,4,5,51,1.0,0
59000,1157,51,1,2,0,2,6,11,5,35,0.5454545454545454,0
